,return-date,order-id,sku,asin,fnsku,quantity,fulfillment-center-id,detailed-disposition,reason,status,license-plate-number,customer-comments
19,2020-05-16T16:32:25+00:00,111-6046021-4295452,PB-AA,B08268F6XN,B08268F6XN,1,IND8,CUSTOMER_DAMAGED,SWITCHEROO,Unit returned to inventory,LPNN675954122,
20,2020-05-05T08:32:36+00:00,113-3182554-3475442,PB-AAA,B08267BBJT,B08267BBJT,1,IND8,DEFECTIVE,DEFECTIVE,Reimbursed,LPNN708078247,One of the batteries will not charge completely!
21,2020-05-03T05:29:01+00:00,112-7583983-1965067,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,DEFECTIVE,MISSING_PARTS,Unit returned to inventory,LPNPM141341096,one battery will not charge
22,2020-04-24T16:41:36+00:00,113-0608794-3301813,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,DEFECTIVE,MISSING_PARTS,Unit returned to inventory,LPNPM037060905,
23,2020-04-13T18:45:21+00:00,112-1189830-4220209,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNPM033907832,Intended to get AA not AAA size. Have already redordered correct size
24,2020-04-10T23:28:53+00:00,112-5414978-6747465,PB-AA,B08268F6XN,B08268F6XN,1,IND8,SELLABLE,SWITCHEROO,Unit returned to inventory,LPNN713557301,USB Rechargeable AAA Smart Batteries
25,2020-04-10T23:28:53+00:00,112-5414978-6747465,PB-AA,B08268F6XN,B08268F6XN,1,IND8,SELLABLE,SWITCHEROO,Unit returned to inventory,LPNN713557340,USB Rechargeable AAA Smart Batteries
26,2020-03-27T23:58:08+00:00,114-1922169-2532216,PB-AA,B08268F6XN,B08268F6XN,1,LEX1,CUSTOMER_DAMAGED,DEFECTIVE,Reimbursed,LPNRR942417413,
27,2020-03-02T04:15:11+00:00,111-0408617-4496214,PB-AAA,B08267BBJT,B08267BBJT,1,LEX2,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNRR954726203,
28,2020-02-29T07:37:35+00:00,111-2184617-5185801,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,DEFECTIVE,MISSING_PARTS,Unit returned to inventory,LPNRR892736928,One battery does not charge
29,2020-02-15T00:30:42+00:00,113-9724539-1425050,PB-AA,B08268F6XN,B08268F6XN,1,IND8,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNN658216012,B08268F6XN:Does not work / defective
30,2020-02-06T16:45:51+00:00,112-5327973-8787457,PB-AA,B08268F6XN,B08268F6XN,1,IND8,CUSTOMER_DAMAGED,MISSING_PARTS,Unit returned to inventory,LPNN666297040,
31,2020-01-30T08:27:59+00:00,112-2695907-1104224,PB-AA,B08268F6XN,B08268F6XN,1,LAS2,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNRR895781107,doesn't work. Won't fit in my device that takes AA batts.
32,2020-01-25T06:09:34+00:00,111-7968236-2013013,PB-AA,B08268F6XN,B08268F6XN,1,LAS2,SELLABLE,MISSED_ESTIMATED_DELIVERY,Unit returned to inventory,LPNRR959056201,
33,2020-07-15T16:53:10+00:00,113-2766645-4969013,PB-AAA,B08267BBJT,B08267BBJT,1,LEX2,CUSTOMER_DAMAGED,DEFECTIVE,Unit returned to inventory,LPNPM203755122,
34,2020-07-15T11:49:29+00:00,112-5646762-4814635,PB-AAA,B08267BBJT,B08267BBJT,1,LEX1,CUSTOMER_DAMAGED,DEFECTIVE,Unit returned to inventory,LPNRRAA9700568,
35,2020-08-25T10:32:52-07:00,112-1576315-6097056,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNPM237910054,
36,2020-08-25T10:32:52-07:00,112-1576315-6097056,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNPM237910053,
37,2020-08-22T10:25:48-07:00,111-1247987-8312209,PB-9VBAT,B08267X3LH,B08267X3LH,1,LAS2,CUSTOMER_DAMAGED,DEFECTIVE,Unit returned to inventory,LPNPM235123811,
